se1_frc,se1_wattemp,se1_cond_unadjusted,se4_frc,se1_cond
0.76,22.0,80.8,0.42,808
0.74,21.7,83.9,0.63,839
0.70,19.8,126.0,,1260
0.80,21.6,84.6,0.21,846
0.79,21.2,91.7,0.53,917
0.87,22.4,80.2,0.23,802
0.86,18.8,86.2,0.71,862
0.87,19.7,84.4,,844
0.84,19.8,84.7,0.16,847
0.87,20.3,83.7,0.62,837
0.81,18.8,89.9,0.58,899
0.90,18.9,83.2,0.65,832
0.92,20.3,81.6,0.66,816
0.95,20.1,80.9,0.55,809
0.60,17.8,111.9,0.14,1119
0.62,17.8,183.2,0.49,1832
0.65,18.1,207.0,0.20,2070
0.70,18.6,182.5,0.22,1825
0.52,17.8,93.5,0.42,935
0.62,17.7,103.8,,1038
0.66,18.2,91.1,0.48,911
0.69,18.6,197.7,0.32,1977
0.60,17.6,266.0,0.33,2660
0.56,17.2,83.9,0.10,839
0.59,19.5,82.2,0.41,822
0.67,19.9,80.6,0.05,806
0.56,17.7,89.3,0.21,893
0.57,18.6,127.7,0.32,1277
0.58,19.0,88.3,0.08,883
0.64,19.7,136.6,0.12,1366
0.78,20.2,96.1,0.09,961
0.73,20.7,103.0,0.65,1030
0.76,20.3,99.4,0.46,994
0.72,20.4,81.9,0.22,819
0.76,20.7,97.6,0.55,976
0.85,20.6,99.6,0.60,996
0.84,20.1,93.2,0.60,932
0.80,20.9,98.0,0.59,980
0.78,20.1,91.6,0.16,916
0.65,19.9,107.3,0.22,1073
0.68,20.1,105.9,,1059
0.69,20.4,110.6,,1106
0.75,18.0,74.9,0.52,749
0.80,18.4,76.0,0.55,760
0.69,20.6,77.6,0.25,776
0.54,19.6,69.7,,697
0.41,18.9,85.2,0.05,852
0.48,18.3,100.5,0.25,1005
0.52,18.0,76.8,0.27,768
0.40,18.3,77.5,,775
0.46,20.7,81.9,0.32,819
0.43,20.1,196.8,,1968
0.43,19.2,86.4,0.02,864
0.54,19.7,77.2,0.31,772
0.48,19.5,94.3,0.27,943
0.45,20.6,255.0,0.35,2550
0.45,23.1,80.2,0.33,802
0.48,20.6,67.9,0.25,679
0.47,20.4,88.1,0.06,881
0.44,21.1,86.1,0.20,861
0.42,19.7,80.6,0.05,806
0.36,19.5,132.3,0.06,1323
0.65,19.5,77.6,0.41,776
0.58,19.4,79.2,0.29,792
0.46,18.9,83.2,0.08,832
0.39,20.2,89.6,0.04,896
0.41,20.4,90.6,0.01,906
0.44,20.0,69.2,0.25,692
0.64,20.7,71.2,0.48,712
0.66,20.2,70.6,0.28,706
0.54,20.2,93.7,0.08,937
0.55,20.5,77.4,0.04,774
0.55,19.8,75.3,0.38,753
0.56,20.3,70.7,0.15,707
0.49,21.3,75.3,0.10,753
0.52,20.4,98.0,0.31,980
0.51,19.9,88.9,0.04,889
0.53,20.3,76.7,,767
0.55,21.3,80.8,,808
0.56,20.0,79.3,0.32,793
0.56,20.4,130.2,0.24,1302
0.55,20.9,71.5,0.23,715
0.79,20.8,81.4,0.34,814
0.81,20.5,98.3,0.45,983
0.82,20.9,82.0,0.32,820
0.91,22.4,114.6,0.68,1146
0.97,21.6,94.0,0.58,940
0.80,20.2,136.1,,1361
0.68,20.0,75.1,0.22,751
0.79,19.7,93.3,0.57,933
0.92,20.8,78.1,0.31,781
0.98,20.9,78.6,0.33,786
